name,location,price
"Quiet Mind Lodge, Spa & Retreat Sequoias",Kernville,"NGN 24,262,022"
The Inn at Virginia Tech - On Campus,Blacksburg,"NGN 23,085,757"
Outbound Mammoth,Mammoth Lakes,"NGN 53,253,814"
Stonehill Cottages,Mena,"NGN 42,919,497"
Zion Glamping Adventures,Hildale,"NGN 20,569,975"
Zion View Camping,Hildale,"NGN 10,393,662"
Alaska Frontier Inn,Delta Junction,"NGN 24,914,715"
Longstreet Inn & Casino,Amargosa Valley,"NGN 20,688,471"
Oceanview Inn at the Arch,Long Beach,"NGN 12,184,093"
Cabins at Grand Canyon West,Peach Springs,"NGN 39,139,045"
Pike's Waterfront Lodge,Fairbanks,"NGN 27,753,141"
Gilbert's Resort,Key Largo,"NGN 60,950,489"
Bryce Pioneer Village,Tropic,"NGN 41,615,221"
The Classic Desert Aire Hotel,Alamogordo,"NGN 14,493,312"
"Quiet Mind Mountain Lodge, Retreat & Spa",Julian,"NGN 24,386,636"
Mount Princeton Hot Springs Resort,Buena Vista,"NGN 53,990,533"
Brady Hotel,New Florence,"NGN 26,408,310"
Guy Harvey Resort on Saint Augustine Beach,Saint Augustine Beach,"NGN 24,319,016"
Expedition Lodge,Moab,"NGN 18,692,074"
Hotel La Fonda de Taos,Taos,"NGN 16,341,477"
Blue Gate Garden Inn,Shipshewana,"NGN 23,456,218"
Adobe Resort,Yachats,"NGN 27,809,652"
Snowy Mountain Inn,Saratoga,"NGN 10,456,452"
Hotel South Tampa & Suites,Tampa,"NGN 31,995,485"
Islander Hotel & Resort,Emerald Isle,"NGN 15,286,204"
