name,location,price
"Quiet Mind Lodge, Spa & Retreat Sequoias",Kernville,"US$15,070"
The Inn at Virginia Tech - On Campus,Blacksburg,"US$16,138"
Outbound Mammoth,Mammoth Lakes,"US$33,077"
Stonehill Cottages,Mena,"US$26,658"
Zion Glamping Adventures,Hildale,"US$12,776"
Zion View Camping,Hildale,"US$6,456"
Alaska Frontier Inn,Delta Junction,"US$15,485"
Longstreet Inn & Casino,Amargosa Valley,"US$12,850"
Oceanview Inn at the Arch,Long Beach,"US$7,568"
Cabins at Grand Canyon West,Peach Springs,"US$24,310"
Pike's Waterfront Lodge,Fairbanks,"US$17,238"
Gilbert's Resort,Key Largo,"US$37,858"
Bryce Pioneer Village,Tropic,"US$25,848"
The Classic Desert Aire Hotel,Alamogordo,"US$9,002"
"Quiet Mind Mountain Lodge, Retreat & Spa",Julian,"US$15,147"
Mount Princeton Hot Springs Resort,Buena Vista,"US$33,535"
Brady Hotel,New Florence,"US$16,403"
Guy Harvey Resort on Saint Augustine Beach,Saint Augustine Beach,"US$15,105"
Expedition Lodge,Moab,"US$11,610"
Hotel La Fonda de Taos,Taos,"US$10,150"
Blue Gate Garden Inn,Shipshewana,"US$14,569"
Adobe Resort,Yachats,"US$17,273"
Snowy Mountain Inn,Saratoga,"US$6,495"
Hotel South Tampa & Suites,Tampa,"US$19,873"
Islander Hotel & Resort,Emerald Isle,"US$9,495"
